iter	Passed	Remaining
0	136	136045
1	137	68417
2	142	47433
3	144	35910
4	145	28878
5	146	24240
6	148	21011
7	149	18590
8	151	16711
9	155	15405
10	156	14091
11	158	13023
12	159	12086
13	160	11272
14	160	10565
15	161	9956
16	162	9418
17	164	8954
18	167	8659
19	169	8289
20	170	7971
21	172	7664
22	174	7428
23	176	7164
24	177	6910
25	178	6679
26	179	6458
27	180	6259
28	184	6188
29	186	6023
30	187	5863
31	188	5703
32	189	5552
33	191	5431
34	192	5302
35	193	5175
36	194	5055
37	195	4940
38	199	4924
39	200	4822
40	201	4724
41	203	4630
42	204	4550
43	205	4466
44	206	4387
45	207	4309
46	209	4243
47	214	4252
48	215	4181
49	217	4135
50	219	4080
51	220	4013
52	221	3950
53	222	3890
54	223	3834
55	224	3781
56	231	3825
57	232	3773
58	233	3724
59	234	3681
60	236	3637
61	237	3590
62	238	3543
63	239	3497
64	240	3452
65	243	3446
66	245	3424
67	247	3387
68	248	3351
69	249	3314
70	250	3275
71	251	3238
72	252	3201
73	253	3166
74	254	3142
75	261	3173
76	262	3143
77	263	3115
78	264	3088
79	265	3057
80	266	3026
81	267	2996
82	268	2962
83	269	2933
84	269	2904
85	273	2906
86	274	2882
87	275	2857
88	277	2836
89	277	2810
90	278	2784
91	279	2760
92	280	2736
93	281	2716
94	282	2693
95	283	2669
96	284	2646
97	285	2624
98	289	2632
99	291	2619
100	292	2601
101	293	2582
102	294	2562
103	295	2543
104	296	2523
105	296	2503
106	297	2484
107	298	2466
108	299	2450
109	300	2432
110	308	2470
111	310	2460
112	311	2445
113	312	2428
114	313	2411
115	314	2394
116	314	2376
117	315	2359
118	320	2373
119	321	2360
120	322	2346
121	324	2331
122	325	2317
123	326	2303
124	327	2293
125	328	2278
126	329	2262
127	329	2247
128	330	2233
129	334	2236
130	335	2223
131	337	2217
132	338	2204
133	339	2191
134	340	2179
135	341	2169
136	342	2156
137	343	2144
138	344	2132
139	345	2124
140	349	2129
141	350	2115
142	351	2107
143	352	2096
144	354	2088
145	355	2081
146	356	2069
147	357	2057
148	358	2046
149	359	2036
150	360	2026
151	361	2015
152	365	2022
153	366	2012
154	367	2002
155	368	1993
156	369	1983
157	370	1973
158	371	1962
159	372	1953
160	373	1944
161	374	1934
162	374	1924
163	375	1914
164	378	1916
165	379	1907
166	380	1898
167	381	1890
168	382	1881
169	383	1871
170	384	1862
171	385	1854
172	386	1845
173	386	1836
174	387	1828
175	388	1820
176	390	1813
177	390	1805
178	393	1805
179	394	1798
180	395	1790
181	396	1782
182	397	1773
183	398	1765
184	399	1757
185	400	1751
186	400	1743
187	401	1735
188	402	1728
189	403	1720
190	404	1712
191	405	1704
192	405	1697
193	408	1697
194	410	1693
195	411	1686
196	412	1681
197	413	1675
198	414	1667
199	415	1660
200	416	1653
201	417	1647
202	418	1641
203	418	1634
204	419	1627
205	420	1620
206	421	1613
207	423	1612
208	424	1607
209	425	1600
210	426	1596
211	427	1589
212	428	1582
213	429	1576
214	430	1572
215	431	1566
216	432	1560
217	433	1553
218	434	1547
219	435	1543
220	436	1537
221	438	1537
222	439	1531
223	440	1525
224	441	1519
225	441	1513
226	442	1507
227	443	1502
228	445	1498
229	445	1493
230	446	1487
231	447	1481
232	448	1476
233	449	1470
234	450	1465
235	450	1459
236	453	1459
237	454	1456
238	455	1451
239	456	1445
240	457	1440
241	458	1435
242	459	1429
243	459	1424
244	460	1419
245	461	1414
246	462	1410
247	463	1404
248	464	1400
249	464	1394
250	465	1390
251	468	1391
252	469	1387
253	470	1382
254	472	1380
255	473	1376
256	474	1371
257	475	1367
258	476	1362
259	477	1358
260	478	1353
261	479	1350
262	480	1347
263	482	1343
264	482	1339
265	483	1334
266	484	1330
267	485	1325
268	486	1322
269	487	1318
270	488	1313
271	489	1308
272	489	1304
273	490	1300
274	491	1295
275	492	1291
276	493	1287
277	496	1289
278	497	1286
279	499	1284
280	500	1280
281	501	1276
282	502	1272
283	503	1268
284	504	1264
285	505	1261
286	506	1257
287	506	1252
288	507	1248
289	508	1244
290	511	1245
291	512	1242
292	513	1240
293	514	1236
294	515	1233
295	516	1229
296	517	1225
297	518	1221
298	519	1217
299	519	1213
300	520	1209
301	521	1205
302	522	1202
303	523	1199
304	526	1199
305	527	1197
306	528	1193
307	529	1190
308	530	1186
309	531	1182
310	532	1179
311	533	1176
312	534	1172
313	534	1168
314	535	1165
315	536	1161
316	537	1158
317	538	1154
318	542	1158
319	561	1193
320	586	1240
321	628	1323
322	631	1323
323	632	1320
324	635	1320
325	636	1316
326	641	1319
327	642	1316
328	643	1312
329	644	1308
330	645	1304
331	646	1301
332	649	1301
333	650	1297
334	651	1293
335	655	1296
336	657	1293
337	658	1289
338	659	1285
339	660	1282
340	661	1278
341	662	1275
342	664	1272
343	665	1269
344	666	1266
345	671	1269
346	673	1266
347	674	1263
348	675	1259
349	676	1256
350	677	1253
351	680	1253
352	682	1250
353	687	1254
354	689	1252
355	690	1248
356	691	1245
357	692	1241
358	693	1238
359	695	1235
360	695	1231
361	696	1228
362	698	1225
363	699	1223
364	702	1221
365	703	1218
366	704	1214
367	705	1210
368	706	1207
369	707	1205
370	709	1203
371	711	1200
372	713	1199
373	714	1196
374	715	1192
375	716	1189
376	717	1185
377	718	1182
378	719	1178
379	720	1175
380	728	1183
381	750	1213
382	752	1212
383	753	1208
384	757	1210
385	758	1207
386	767	1215
387	772	1218
388	774	1217
389	776	1214
390	783	1220
391	785	1218
392	786	1215
393	788	1212
394	789	1208
395	793	1209
396	799	1213
397	800	1211
398	803	1210
399	805	1207
400	806	1204
401	807	1200
402	808	1197
403	813	1199
404	814	1195
405	815	1193
406	817	1190
407	818	1187
408	819	1184
409	821	1181
410	822	1178
411	823	1175
412	830	1180
413	831	1176
414	832	1173
415	833	1170
416	834	1166
417	835	1163
418	838	1162
419	842	1162
420	843	1159
421	845	1158
422	846	1155
423	848	1152
424	852	1153
425	858	1156
426	860	1154
427	861	1151
428	863	1149
429	865	1147
430	866	1143
431	867	1140
432	868	1137
433	870	1135
434	873	1135
435	875	1132
436	876	1128
437	877	1125
438	878	1122
439	881	1121
440	888	1125
441	890	1123
442	891	1120
443	892	1117
444	893	1114
445	894	1111
446	896	1108
